,week,stor
AUT,3.0,1213267.3777336800
BIH,9.0,891937.9359179650
BEL,9.0,1164.2936062117800
BGR,3.0,149459.27562990200
CHE,8.4,3092782.73027768
CZE,2.0,47883.112215033500
DEU,2.0,32864.46039545490
GRC,11.0,553692.3865544170
ESP,1.0,404151.7907817000
FIN,1.0,115163.0475919920
FRA,21.0,6802918.086923570
HRV,3.0,69144.56111784630
HUN,1.0,0.030890551908645900
IRL,1.0,62.870422634832500
ITA,5.0,1402110.4349227700
LVA,5.0,224756.79716149000
MNE,1.0,35254.01904700530
MKD,1.0,28163.712028479800
NOR,31.0,24884785.455470300
POL,1.0,11701.882596776000
PRT,5.0,902638.4805974150
ROU,1.0,212578.4478767820
SRB,8.0,161988.59027889700
SWE,23.0,18938285.75132370
SVN,1.0,13670.4407016841
SVK,6.0,218678.17383376500
GBR,1.0,78794.6395540716
UKR,,
CYP,,
DNK,,
EST,,
ISL,,
LTU,,
MDA,,
NLD,,